Host,cidade,UF,SLA,Latitude,Longitude
1028317,OLIVEIRA,MG, MG/PR/MT,-20.73872,-44.770762
1040910,LARANJAL PAULISTA,SP, SP/RJ,-23.06039108,-47.83084841
1048255,MACAE,RJ, SP/RJ,-22.401988,-41.837547
1035564,FORTALEZA,CE, Regioes Metropolitanas,-3.76559,-38.537017
1033719,CACAPAVA,SP, SP/RJ,-23.123909,-45.727449
1113260,ITABUNA,BA, Demais Regioes,-14.812812,-39.286788
54950,GOIANAPOLIS,GO, Demais Regioes,-16.45935249,-49.0585289
1047214,SOCORRO,SP, SP/RJ,-22.57796,-46.527149
33731,MARINGA,PR, MG/PR/MT,-23.40287,-51.957191
1008551,SAO GONCALO,RJ, SP/RJ,-22.81401355,-43.07367536
1028653,BACABEIRA,MA, Regioes Metropolitanas,-2.978094,-44.316582
1034198,SAO PAULO,SP, SP/RJ,-23.440142,-46.717187
1037210,FORTALEZA,CE, Regioes Metropolitanas,-3.79536256,-38.48034578
1047574,ITAREMA,CE, Demais Regioes,-2.978912,-39.884987
1023213,JALES,SP, SP/RJ,-20.270462,-50.5514
1087034,GUARULHOS,SP, SP/RJ,-23.448373,-46.521194
1045844,LAURO DE FREITAS,BA, Regioes Metropolitanas,-12.8796326,-38.31259688
1093012,SAO PAULO,SP, SP/RJ,-23.67173956,-46.74336046
1030913,LUZIANIA,GO, Regioes Metropolitanas,-16.246797,-47.9126652
228508,SANTA CRUZ DO RIO PARDO,SP, SP/RJ,-22.88958554,-49.61122727
1023332,PARANAVAI,PR, MG/PR/MT,-23.08139333,-52.44624404
1110643,CAPIVARI,SP, SP/RJ,-23.0087868,-47.516856
1051261,ARAPONGAS,PR, MG/PR/MT,-23.415365,-51.4295786
1033954,ALVORADA,RS, Regioes Metropolitanas,-30.02802506,-51.05426609
1034752,ESPLANADA,BA, Demais Regioes,-11.796126,-37.954364
574058,MONTE ALEGRE DE MINAS,MG, MG/PR/MT,-18.8700757,-48.8783196
1062192,MURIBECA,SE, Regioes Metropolitanas,-10.30852033,-37.01627805
886114,GUARULHOS,SP, SP/RJ,-23.4517736,-46.5509842
1054531,SANTOS DUMONT,MG, MG/PR/MT,-21.47741098,-43.54561544
1024486,BEBEDOURO,SP, SP/RJ,-20.94138425,-48.481263
1043765,FORTALEZA,CE, Regioes Metropolitanas,-3.7914891,-38.589152
1090016,BELO HORIZONTE,MG, MG/PR/MT,-19.979397,-44.005596
1023882,SAO PAULO,SP, SP/RJ,-23.55899464,-46.48852976
1043272,NOVA ANDRADINA,MS, Demais Regioes,-22.24660501,-53.34743814
1022901,RIO DE JANEIRO,RJ, SP/RJ,-22.91705186,-43.3775432
1023886,SAO PAULO,SP, SP/RJ,-23.63356691,-46.61611015
1085999,SAO LUIS,MA, Regioes Metropolitanas,-2.5136836,-44.3060527
1108105,SANTO ANDRE,SP, SP/RJ,-23.648288,-46.563415
1025635,RECIFE,PE, Regioes Metropolitanas,-8.12778648,-34.91583675
1035902,GARCA,SP, SP/RJ,-22.21246903,-49.65433905
1032632,MAFRA,SC, Demais Regioes,-26.12022805,-49.78489216
1051432,BELO HORIZONTE,MG, MG/PR/MT,-19.8444082,-43.91775491
1105130,SANTA RITA,PB, Regioes Metropolitanas,-7.14211878,-34.97067047
1032659,FLORIANOPOLIS,SC, Regioes Metropolitanas,-27.632975,-48.52357
1031203,RONDONOPOLIS,MT, MG/PR/MT,-16.439574,-54.642275
1100012,Itiquira,MT, MG/PR/MT,-17.095135,-54.759463
1020862,RIO DE JANEIRO,RJ, SP/RJ,-23.01589966,-43.47019958
1025390,DOURADOS,MS, Demais Regioes,-22.246037,-54.807643
1023697,FORTALEZA,CE, Regioes Metropolitanas,-3.73699589,-38.51309404
1009721,PRESIDENTE PRUDENTE,SP, SP/RJ,-22.10903485,-51.43457802
133515,FORTALEZA,CE, Regioes Metropolitanas,-3.73974942,-38.55513633
1089284,LENCOIS PAULISTA,SP, SP/RJ,-22.586214,-48.810207
1087824,SAO PAULO,SP, SP/RJ,-23.545679,-46.571631
430269,SAO BERNARDO DO CAMPO,SP, SP/RJ,-23.667795,-46.587828
1096528,APARECIDA DE GOIANIA,GO, Regioes Metropolitanas,-16.748146,-49.205363
1044443,CUIABA,MT, MG/PR/MT,-15.58011668,-56.09224653
1037945,ALMIRANTE TAMANDARE,PR, MG/PR/MT,-25.31588092,-49.30074271
1014497,PRAIA GRANDE,SP, SP/RJ,-24.062847,-46.562517
188654,JAGUAPITA,PR, MG/PR/MT,-23.113997,-51.47889
1032938,ARAUCARIA,PR, MG/PR/MT,-25.552489,-49.372226
1032176,RIO DAS OSTRAS,RJ, SP/RJ,-22.48660088,-41.9117012
644218,TRES RIOS,RJ, SP/RJ,-22.121586,-43.166263
1021437,PARAIBUNA,SP, SP/RJ,-23.57008232,-45.49130699
1089744,APUCARANA,PR, MG/PR/MT,-23.543992,-51.452495
1062951,VILHENA,RO, Demais Regioes,-12.7413086,-60.1225793
1023369,CURITIBA,PR, MG/PR/MT,-25.395942,-49.34674
1024674,BRASILIA,DF, Regioes Metropolitanas,-15.64684677,-47.78645713
1023036,TRES CORACOES,MG, MG/PR/MT,-21.68869453,-45.26031733
1111859,TIANGUA,CE, Demais Regioes,-3.7123132,-40.9834625
1084351,REBOUCAS,PR, MG/PR/MT,-25.626085,-50.690844
874485,FORTALEZA,CE, Regioes Metropolitanas,-3.73346109,-38.48013869
1043436,SAO PEDRO DA ALDEIA,RJ, SP/RJ,-22.827108,-42.11367
1085147,SANTO ANGELO,RS, Demais Regioes,-28.305259,-54.256161
1037206,FRANCISCO MORATO,SP, SP/RJ,-23.27654506,-46.74540244
1057602,RONDONOPOLIS,MT, MG/PR/MT,-16.467638,-54.629755
873985,FORTALEZA,CE, Regioes Metropolitanas,-3.74351672,-38.50927068
1022984,SALVADOR,BA, Regioes Metropolitanas,-13.00555525,-38.52225914
59919,SAO PAULO,SP, SP/RJ,-23.6438665,-46.59610953
1024548,SOMBRIO,SC, Demais Regioes,-29.103477,-49.636639
597198,BELO HORIZONTE,MG, MG/PR/MT,-19.941643,-43.922221
1025268,VINHEDO,SP, SP/RJ,-23.033283,-46.977135
191108,GOIANIA,GO, Regioes Metropolitanas,-16.7296072,-49.2778855
1023650,JUIZ DE FORA,MG, MG/PR/MT,-21.76302089,-43.33445558
1045454,DIVINOLANDIA DE MINAS,MG, MG/PR/MT,-18.802287,-42.626452
1009838,FERVEDOURO,MG, MG/PR/MT,-20.7229513,-42.28067761
1016916,JAU,SP, SP/RJ,-22.283538,-48.551096
1023484,BRUSQUE,SC, Demais Regioes,-27.09843219,-48.90500615
1023068,MAUA,SP, SP/RJ,-23.624739,-46.484326
1023012,BELO HORIZONTE,MG, MG/PR/MT,-19.926476,-43.972705
1111309,UBATUBA,SP, SP/RJ,-23.536577,-45.228882
1019872,MACEIO,AL, Regioes Metropolitanas,-9.62696829,-35.7167838
81809,SAO PAULO,SP, SP/RJ,-23.4793663,-46.7270293
1033764,JATI,CE, Demais Regioes,-7.68075041,-39.01042988
1098309,ARARAS,SP, SP/RJ,-22.353418,-47.397096
1023237,PRESIDENTE PRUDENTE,SP, SP/RJ,-22.122152,-51.395846
73555,PARAGUACU PAULISTA,SP, SP/RJ,-22.42944482,-50.58487599
1101433,CAMPINAS,SP, SP/RJ,-22.974884,-47.103902
1022908,DUQUE DE CAXIAS,RJ, SP/RJ,-22.794908,-43.296249
1034236,CUIABA,MT, MG/PR/MT,-15.586922,-56.081676
1034541,VARGINHA,MG, MG/PR/MT,-21.561383,-45.444367
1011232,JUQUIA,SP, SP/RJ,-24.33059375,-47.63007157
1046892,FORTALEZA,CE, Regioes Metropolitanas,-3.82401782,-38.54856138
1024530,TEOFILO OTONI,MG, MG/PR/MT,-17.849719,-41.495417
645389,VOLTA REDONDA,RJ, SP/RJ,-22.51140022,-44.08610153
1038927,ITAPETININGA,SP, SP/RJ,-23.57791947,-48.03426929
1028358,UNIAO DA VITORIA,PR, MG/PR/MT,-26.24705546,-51.09148242
1063065,BAYEUX,PB, Regioes Metropolitanas,-7.12620438,-34.92354642
1022866,PETROPOLIS,RJ, SP/RJ,-22.5330009,-43.21760192
1041237,NOVA IPIXUNA,PA, Demais Regioes,-4.912178,-49.071548
881570,SAO PAULO,SP, SP/RJ,-23.63909843,-46.64290044
1031791,CACAPAVA,SP, SP/RJ,-23.07837963,-45.65703257
7056,MANAUS,AM, Regioes Metropolitanas,-3.10351228,-60.02440789
1024971,RIBEIRAO PRETO,SP, SP/RJ,-21.19067729,-47.80136636
1031663,VILA VELHA,ES, Regioes Metropolitanas,-20.375737,-40.319496
1025291,SAO PAULO,SP, SP/RJ,-23.58570757,-46.61816724
1037467,GONCALVES,MG, MG/PR/MT,-22.659075,-45.853742
880787,SAO PAULO,SP, SP/RJ,-23.58521233,-46.61788138
1055517,RIACHAO DAS NEVES,BA, Demais Regioes,-11.74585339,-44.90026057
1051228,ARACARIGUAMA,SP, SP/RJ,-23.43680576,-47.06385925
874426,FORTALEZA,CE, Regioes Metropolitanas,-3.7453094,-38.4693854
1062842,ARAPOTI,PR, MG/PR/MT,-24.13469,-49.832217
1022872,TERESOPOLIS,RJ, SP/RJ,-22.4158896,-42.9722489
1030787,SAO PAULO,SP, SP/RJ,-23.55512619,-46.64545059
1016921,BAURU,SP, SP/RJ,-22.33935472,-49.06411529
882356,SAO PAULO,SP, SP/RJ,-23.55337877,-46.65823292
1033369,UBERLANDIA,MG, MG/PR/MT,-18.90409525,-48.29559597
1050270,BELO HORIZONTE,MG, MG/PR/MT,-19.9758,-44.012484
1023328,Loanda,PR, MG/PR/MT,-22.9322468,-53.13691347
1112593,JUNDIAI,SP, SP/RJ,-23.171088,-46.907982
899992,SAO PAULO,SP, SP/RJ,-23.5906361,-46.6455441
1043417,CASCAVEL,PR, MG/PR/MT,-24.98165945,-53.45274546
1023742,IMBE,RS, Demais Regioes,-29.973693,-50.1342136
875058,FORTALEZA,CE, Regioes Metropolitanas,-3.75099714,-38.49083691
1092264,LINHARES,ES, Demais Regioes,-19.39526,-40.067018
1104288,CURITIBA,PR, MG/PR/MT,-25.382852,-49.312178
882348,SAO PAULO,SP, SP/RJ,-23.60320513,-46.62581783
1037202,ITAGUAI,RJ, SP/RJ,-22.85591235,-43.76349002
1024570,SAO PAULO,SP, SP/RJ,-23.63223953,-46.70421173
1016450,CUIABA,MT, MG/PR/MT,-15.567562,-56.060529
1025066,CAMPO GRANDE,MS, Regioes Metropolitanas,-20.527386,-54.606253
252069,PENAPOLIS,SP, SP/RJ,-21.4264539,-50.0861324
430471,FOZ DO IGUACU,PR, MG/PR/MT,-25.50116,-54.5374
1023758,PONTA GROSSA,PR, MG/PR/MT,-25.11655117,-50.15502883
1087209,JAGUARAO,RS, Demais Regioes,-32.56615251,-53.38057258
1023200,BATATAIS,SP, SP/RJ,-20.89979875,-47.58654514
878650,FORTALEZA,CE, Regioes Metropolitanas,-3.74725404,-38.53147568
70300,SAO PAULO,SP, SP/RJ,-23.705624,-46.702181
1040775,SANTO ANDRE,SP, SP/RJ,-23.669456,-46.503009
1038338,SAO MARTINHO,RS, Demais Regioes,-27.70713,-53.962787
1054782,BENTO GONCALVES,RS, Demais Regioes,-29.15565754,-51.5103371
1016917,TUPA,SP, SP/RJ,-21.94920296,-50.50790802
1040393,GUANHAES,MG, MG/PR/MT,-18.777669,-42.938553
1038194,NOVA PRATA,RS, Demais Regioes,-28.773375,-51.60597
1045504,PAULO AFONSO,BA, Demais Regioes,-9.437642,-38.204982
601543,BELO HORIZONTE,MG, MG/PR/MT,-19.92192205,-43.98665477
1112411,PALHOCA,SC, Regioes Metropolitanas,-27.8830666,-48.6043836
1113422,TRINDADE,GO, Regioes Metropolitanas,-16.663619,-49.499354
1052772,MARINGA,PR, MG/PR/MT,-23.425512,-51.911843
33332,MARINGA,PR, MG/PR/MT,-23.39574576,-51.91786972
1025428,CAMPOS DO JORDAO,SP, SP/RJ,-22.72465,-45.57775812
887099,SAO PAULO,SP, SP/RJ,-23.64293765,-46.73808708
1018176,UBERLANDIA,MG, MG/PR/MT,-18.9405829,-48.2416564
1024714,MARINGA,PR, MG/PR/MT,-23.412628,-51.943375
1060501,SAO PAULO,SP, SP/RJ,-23.5390978,-46.5793235
8630,SAO PAULO,SP, SP/RJ,-23.632821,-46.63824
1041321,RONDONOPOLIS,MT, MG/PR/MT,-16.47129,-54.626705
1019897,PENAPOLIS,SP, SP/RJ,-21.42220267,-50.07947489
1047936,MURIAE,MG, MG/PR/MT,-21.14538645,-42.37948458
1024873,PARATY,RJ, SP/RJ,-23.222649,-44.730888
601861,PONTE NOVA,MG, MG/PR/MT,-20.4191292,-42.9124417
644145,RIO DE JANEIRO,RJ, SP/RJ,-22.80498327,-43.20974737
1024906,Canoinhas,SC, Demais Regioes,-26.17139833,-50.39081895
1033339,CAMETA,PA, Demais Regioes,-2.245516,-49.499843
1042342,RIO DE JANEIRO,RJ, SP/RJ,-22.9859187,-43.4588401
1047389,PALMAS,TO, Regioes Metropolitanas,-10.180132,-48.324582
1033476,VILA VELHA,ES, Regioes Metropolitanas,-20.38408,-40.310737
1051892,CUIABA,MT, MG/PR/MT,-15.592281,-56.07054
1042293,SAO JOSE DOS CAMPOS,SP, SP/RJ,-23.17129,-45.8418
1110868,LINHARES,ES, Demais Regioes,-19.4909279,-40.1300878
1031749,RIO DAS OSTRAS,RJ, SP/RJ,-22.51395845,-41.93005262
1059749,SAO PAULO,SP, SP/RJ,-23.4917341,-46.578482
1035062,ANAPOLIS,GO, Regioes Metropolitanas,-16.25501206,-48.99247171
1028616,GOIANIA,GO, Regioes Metropolitanas,-16.654198,-49.253502
89524,SANTO ANDRE,SP, SP/RJ,-23.64978256,-46.54773708
1033678,ARARANGUA,SC, Demais Regioes,-28.95122752,-49.46448529
1060556,GOIANIA,GO, Regioes Metropolitanas,-16.74375626,-49.34343505
1089679,ARAGUAINA,TO, Demais Regioes,-7.158124,-48.1923539
595187,UBERLANDIA,MG, MG/PR/MT,-18.924626,-48.287347
1030782,PETROLINA,PE, Demais Regioes,-9.40152809,-40.50507174
1058366,SAO PAULO,SP, SP/RJ,-23.471239,-46.705991
1047478,BELO HORIZONTE,MG, MG/PR/MT,-19.91347296,-43.94566304
430188,SANTO ANDRE,SP, SP/RJ,-23.63437736,-46.50317102
1042964,SALVADOR,BA, Regioes Metropolitanas,-12.87965563,-38.47957735
1032972,JUARA,MT, MG/PR/MT,-11.274045,-57.521401
1044793,JAGUAQUARA,BA, Demais Regioes,-13.52664183,-39.97185471
1050542,QUATRO BARRAS,PR, MG/PR/MT,-25.363707,-49.080472
1041507,PORTO ALEGRE,RS, Regioes Metropolitanas,-29.99791673,-51.15551708
59994,SAO PAULO,SP, SP/RJ,-23.522243,-46.734742
1024316,CAMPOS DO JORDAO,SP, SP/RJ,-22.71949387,-45.56967545
204838,BENTO GONCALVES,RS, Demais Regioes,-29.16624716,-51.52119167
1027656,FORTALEZA,CE, Regioes Metropolitanas,-3.724099,-38.519816
1023138,SAO PAULO,SP, SP/RJ,-23.5394795,-46.7062128
886670,SAO PAULO,SP, SP/RJ,-23.5088141,-46.6052592
1024003,PRATA,MG, MG/PR/MT,-19.29659396,-48.90818548
1020660,CACHOEIRA PAULISTA,SP, SP/RJ,-22.6650484,-44.98530822
1023570,LINHARES,ES, Demais Regioes,-19.37892124,-40.06618573
80900,FORMIGA,MG, MG/PR/MT,-20.466357,-45.432611
1036108,JUNDIAI,SP, SP/RJ,-23.1733415,-46.91662222
1024635,DIADEMA,SP, SP/RJ,-23.6855406,-46.6176006
1096527,APARECIDA DE GOIANIA,GO, Regioes Metropolitanas,-16.816415,-49.308704
1061640,OBIDOS,PA, Demais Regioes,-1.877566,-55.518164
1023750,SANTO ANTONIO DA PLATINA,PR, MG/PR/MT,-23.307636,-50.070308
1031841,PIRASSUNUNGA,SP, SP/RJ,-21.997377,-47.437539
1023391,ARARAS,SP, SP/RJ,-22.35086732,-47.38562539
1022952,FORTALEZA,CE, Regioes Metropolitanas,-3.731349,-38.542411
682241,ARAXA,MG, MG/PR/MT,-19.57022182,-46.95589641
1038163,SOLEDADE,RS, Demais Regioes,-28.820695,-52.51083
1038813,PINHALZINHO,SC, Demais Regioes,-26.847667,-52.986945
1032500,VIDEIRA,SC, Demais Regioes,-26.991228,-51.179956
1096541,AP DE GOIANIA,GO, Regioes Metropolitanas,-16.74858,-49.28844
1030838,AGUAS DE LINDOIA,SP, SP/RJ,-22.44567,-46.58328
250821,SAO JOSE DO RIO PRETO,SP, SP/RJ,-20.822805,-49.385184
1062211,CACHOEIRINHA,RS, Regioes Metropolitanas,-29.95336266,-51.10419075
1016927,JAU,SP, SP/RJ,-22.294688,-48.546375
1052584,JOAO PESSOA,PB, Regioes Metropolitanas,-7.16770285,-34.89652309
1063457,MACEIO,AL, Regioes Metropolitanas,-9.646011,-35.734617
1113288,VITORIA DA CONQUISTA,BA, Demais Regioes,-14.84800811,-40.8597501
1019455,POMBOS,PE, Demais Regioes,-8.139871,-35.379135
1057831,CACHOEIRINHA,RS, Regioes Metropolitanas,-29.890757,-51.067955
1058832,FORTALEZA,CE, Regioes Metropolitanas,-3.765487,-38.51501
1042499,ITAQUAQUECETUBA,SP, SP/RJ,-23.48509708,-46.37354701
1039023,REDUTO,MG, MG/PR/MT,-20.247898,-41.980797
1028235,CAMBUI,MG, MG/PR/MT,-22.605937,-46.060225
1108850,ITABERABA,BA, Demais Regioes,-12.546124,-40.304486
1093444,ARINOS,MG, MG/PR/MT,-15.9159738,-46.1111647
1024886,LINHARES,ES, Demais Regioes,-19.3830599,-40.0607365
1034032,ITABIRA,MG, MG/PR/MT,-19.63997187,-43.23529147
1036583,SAO PAULO,SP, SP/RJ,-23.61913209,-46.60149097
1022923,PEDRO CANARIO,ES, Demais Regioes,-18.300835,-39.956939
1107332,MARINGA,PR, Regioes Metropolitanas,-23.40095387,-51.92798732
430447,PALMEIRA,PR, MG/PR/MT,-25.43448279,-49.9917966
1015035,SAO PAULO,SP, SP/RJ,-23.48833505,-46.69809589
94900,FORTALEZA,CE, Regioes Metropolitanas,-3.739988,-38.54064
1010747,SAO JOSE DOS CAMPOS,SP, SP/RJ,-23.19123221,-45.87450184
1089678,ARAGUAINA,TO, Demais Regioes,-7.203827,-48.182492
540463,JABOATAO DOS GUARARAPES,PE, Regioes Metropolitanas,-8.19977122,-34.91830735
150010,ITUVERAVA,SP, SP/RJ,-20.33340322,-47.797111
1039165,PORTO VELHO,RO, Regioes Metropolitanas,-8.743027,-63.913059
1036000,JATAI,GO, Demais Regioes,-17.88280961,-51.71789454
1084118,SAO PAULO,SP, SP/RJ,-23.5971355,-46.6792875
1024195,SAO PAULO,SP, SP/RJ,-23.54776687,-46.75003581
204765,COXILHA,RS, Demais Regioes,-28.134446,-52.29281
105147,SALVADOR,BA, Regioes Metropolitanas,-12.98879439,-38.44935876
880736,SAO PAULO,SP, SP/RJ,-23.65497673,-46.69139552
151793,PIRASSUNUNGA,SP, SP/RJ,-21.993353,-47.422965
113670,MARILIA,SP, SP/RJ,-22.2258573,-49.9623689
1045648,GUACUI,ES, Demais Regioes,-20.7724773,-41.6779931
886084,SAO PAULO,SP, SP/RJ,-23.644152,-46.701583
1023790,SAO PAULO,SP, SP/RJ,-23.50441759,-46.641273
1089515,GUARUJA,SP, SP/RJ,-23.97841,-46.190005
881732,SAO BERNARDO DO CAMPO,SP, SP/RJ,-23.705457,-46.550494
1017669,CUIABA,MT, MG/PR/MT,-15.62109867,-56.08277765
852767,PRESIDENTE VENCESLAU,SP, SP/RJ,-21.87847607,-51.84423729
1025710,MONGAGUA,SP, SP/RJ,-24.117216,-46.667106
1010515,SAO PAULO,SP, SP/RJ,-23.50642847,-46.62412808
1018655,JUNDIAI,SP, SP/RJ,-23.188343,-46.847069
603554,MATOZINHOS,MG, MG/PR/MT,-19.56901262,-44.07188152
1093099,VILA VELHA,ES, Regioes Metropolitanas,-20.454895,-40.33939
1055646,SAO JOAQUIM,SC, Demais Regioes,-28.2840782,-49.93082698
182621,CURITIBA,PR, MG/PR/MT,-25.438118,-49.366095
1025371,LONDRINA,PR, MG/PR/MT,-23.33958616,-51.14762941
604925,BELO HORIZONTE,MG, MG/PR/MT,-19.931699,-43.944701
1112508,SANTA RITA DO NOVO DESTINO,GO, Demais Regioes,-14.839207,-49.031417
1050701,FRANCISCO BELTRAO,PR, Demais Regioes,-26.0650617,-53.2913299
1100025,PRIMAVERA DO LESTE,MT, MG/PR/MT,-15.552362,-54.301926
1054810,SAO ROQUE,SP, SP/RJ,-23.5297012,-47.1383972
1062506,BIRIGUI,SP, SP/RJ,-21.29783905,-50.35803694
199737,SAO PAULO,SP, SP/RJ,-23.49643809,-46.51272648
1046829,BRASILIA,DF, Regioes Metropolitanas,-15.8077356,-48.08166615
1022871,DUQUE DE CAXIAS,RJ, SP/RJ,-22.615476,-43.199788
430145,SAO PAULO,SP, SP/RJ,-23.5826641,-46.6762245
1036167,MATINHOS,PR, MG/PR/MT,-25.840121,-48.542611
1034308,ALFENAS,MG, MG/PR/MT,-21.43639693,-45.94826537
1096532,APARECIDA DE GOIANIA,GO, Regioes Metropolitanas,-16.775228,-49.250292
1037934,MANDAGUARI,PR, MG/PR/MT,-23.527856,-51.675117
1019945,JOAO PESSOA,PB, Regioes Metropolitanas,-7.164989,-34.849638
1024089,CARIACICA,ES, Regioes Metropolitanas,-20.3366694,-40.3800603
1023099,SAO PAULO,SP, SP/RJ,-23.56425125,-46.59679389
1016908,BAURU,SP, SP/RJ,-22.33521346,-49.05381879
1018796,TERESINA,PI, Regioes Metropolitanas,-5.06290398,-42.79560808
1022990,UMBAUBA,SE, Regioes Metropolitanas,-11.379466,-37.664078
272949,UBATUBA,SP, SP/RJ,-23.501486,-45.127539
1016713,GUARULHOS,SP, SP/RJ,-23.432185,-46.405215
272990,SAO JOSE DOS CAMPOS,SP, SP/RJ,-23.22327738,-45.91176355
1050754,CRUZEIRO,SP, SP/RJ,-22.580899,-44.961726
1048099,VARZEA GRANDE,MT, MG/PR/MT,-15.67795001,-56.12856277
1018790,JUNDIAI,SP, SP/RJ,-23.165401,-46.913825
324531,ITAGIMIRIM,BA, Demais Regioes,-16.05764259,-39.61768061
430420,SUZANO,SP, SP/RJ,-23.6444333,-46.3232645
1020658,CACAPAVA,SP, SP/RJ,-23.134558,-45.74852
1087026,SAO PAULO,SP, SP/RJ,-23.5360426,-46.6080054
1048563,ORIZONA,GO, Demais Regioes,-17.03213,-48.308576
1052758,MARIALVA,PR, MG/PR/MT,-23.49466357,-51.80957969
234761,BELEM,PA, Regioes Metropolitanas,-1.37115,-48.44385
177342,SAO JOSE DOS PINHAIS,PR, Regioes Metropolitanas,-25.6099954,-49.172277
1023463,JAU,SP, SP/RJ,-22.30222965,-48.57295021
101729,SAO PAULO,SP, SP/RJ,-23.6755905,-46.6604842
1057365,CURITIBA,PR, MG/PR/MT,-25.49847,-49.23179
1050413,Pitanga,PR, MG/PR/MT,-24.75768147,-51.75873847
1113040,PORTO SEGURO,BA, Demais Regioes,-16.4818,-39.117826
1024691,FRANCA,SP, SP/RJ,-20.543318,-47.422371
1031156,CAMOCIM,CE, Demais Regioes,-2.92658192,-40.85538151
1034038,CUIABA,MT, MG/PR/MT,-15.589126,-56.11752
166790,CAMPINAS,SP, SP/RJ,-22.88545785,-46.97443231
1028251,MARINGA,PR, MG/PR/MT,-23.427296,-51.893954
1088941,IBATIBA,ES, Demais Regioes,-20.26345139,-41.5813694
1023123,PINDAMONHANGABA,SP, SP/RJ,-22.922296,-45.449324
643181,RIO DE JANEIRO,RJ, SP/RJ,-22.86868749,-43.44059147
1033981,ALFENAS,MG, MG/PR/MT,-21.44377953,-45.94833086
1023025,PIRAPORA,MG, MG/PR/MT,-17.348784,-44.946459
1051208,APARECIDA DE GOIANIA,GO, Regioes Metropolitanas,-16.82034,-49.293212
1101620,CARAZINHO,RS, Demais Regioes,-28.276581,-52.77363
1023820,PORTO FERREIRA,SP, SP/RJ,-21.85157763,-47.48464947
1027371,PATROCINIO,MG, MG/PR/MT,-18.939698,-46.990954
71943,SUZANO,SP, SP/RJ,-23.522079,-46.326442
1023269,NOVA PETROPOLIS,RS, Demais Regioes,-29.370197,-51.105583
1104356,VITORIA DA CONQUISTA,BA, Regioes Metropolitanas,-14.8764138,-40.84436176
1061103,CAPIM GROSSO,BA, Demais Regioes,-11.383205,-40.002422
1086389,AMERICANA,SP, SP/RJ,-22.7200161,-47.2939381
880027,SAO PAULO,SP, SP/RJ,-23.5697077,-46.64413859
131601,MARACANAU,CE, Regioes Metropolitanas,-3.8363771,-38.583061
1035750,LIMEIRA,SP, SP/RJ,-22.653413,-47.323074
604860,NOVA LIMA,MG, MG/PR/MT,-20.061615,-43.978121
1057374,TREMEMBE,SP, SP/RJ,-22.98941939,-45.55051475
1054857,SANTAREM,PA, Demais Regioes,-2.436084,-54.727031
1034034,ITABIRA,MG, MG/PR/MT,-19.627049,-43.231215
1023807,SAO PAULO,SP, SP/RJ,-23.608823,-46.743519
831140,SALVADOR,BA, Regioes Metropolitanas,-12.96644248,-38.46230902
1040933,UBA,MG, MG/PR/MT,-21.12073722,-42.93517335
1031236,JACAREI,SP, SP/RJ,-23.31487028,-45.92411984
1096648,CAMPO NOVO DO PARECIS,MT, MG/PR/MT,-13.6635,-57.891167
1034762,OLINDINA,BA, Demais Regioes,-11.36185,-38.329223
202967,CANOAS,RS, Regioes Metropolitanas,-29.89493476,-51.17557959
885797,SAO PAULO,SP, SP/RJ,-23.6143438,-46.658631
1085728,PIRACICABA,SP, SP/RJ,-22.68181,-47.67373
1042963,MATA DE SAO JOAO,BA, Regioes Metropolitanas,-12.4918254,-38.3218685
1089134,Chopinzinho,PR, MG/PR/MT,-25.8562204,-52.534057
1060538,SAO PAULO,SP, SP/RJ,-23.5654313,-46.4680186
1024386,UBERABA,MG, MG/PR/MT,-19.7638837,-47.95067052
1045732,SANTA GERTRUDES,SP, SP/RJ,-22.45554846,-47.53196942
1017168,IBIRAREMA,SP, SP/RJ,-22.793789,-50.09903
1021424,GUARULHOS,SP, SP/RJ,-23.465858,-46.547387
1021274,GUARULHOS,SP, SP/RJ,-23.45324467,-46.55536521
882097,SANTO ANDRE,SP, SP/RJ,-23.657454,-46.522957
1023229,BAURU,SP, SP/RJ,-22.33643735,-49.06689094
1045792,CONCEICAO DA BARRA,ES, Regioes Metropolitanas,-18.420941,-39.934891
1030567,REGISTRO,SP, SP/RJ,-24.4997958,-47.8500562
71757,SAO PAULO,SP, SP/RJ,-23.61037053,-46.72747281
1024245,FORTALEZA,CE, Regioes Metropolitanas,-3.71839593,-38.57268202
1023421,MARILIA,SP, SP/RJ,-22.228482,-49.965671
1023201,ORLANDIA,SP, SP/RJ,-20.7222517,-47.8885727
1095298,GUARULHOS,SP, SP/RJ,-23.44506,-46.470585
1058236,ANGRA DOS REIS,RJ, SP/RJ,-23.0214014,-44.536173
81248,PATOS DE MINAS,MG, MG/PR/MT,-18.6076936,-46.5163467
1041634,DIAMANTINA,MG, MG/PR/MT,-18.24083958,-43.62772466
1096547,APARECIDA DE GOIANIA,GO, Regioes Metropolitanas,-16.80938,-49.281316
1038773,MARECHAL CANDIDO RONDON,PR, MG/PR/MT,-24.556632,-54.086812
1061516,SAO JOSE DOS QUATRO MARCOS,MT, MG/PR/MT,-15.627281,-58.18238
880388,SAO PAULO,SP, SP/RJ,-23.53401301,-46.67274691
1035024,RIO DE JANEIRO,RJ, SP/RJ,-22.855509,-43.252056
1014472,EUCLIDES DA CUNHA,BA, Demais Regioes,-10.49634748,-39.01419056
1096529,GOIANIA,GO, Regioes Metropolitanas,-16.790108,-49.370184
