Host,cidade,UF,SLA,Latitude,Longitude
1060554,SAO LUIS DE MONTES BELOS,GO, Regioes Metropolitanas,-16.508273,-50.383913
1030276,MANDAGUARI,PR, MG/PR/MT,-23.529198,-51.668808
1044723,BELO HORIZONTE,MG, MG/PR/MT,-19.899626,-44.000609
1045802,SARZEDO,MG, MG/PR/MT,-20.035559,-44.136211
1058985,Lajinha,MG, MG/PR/MT,-20.152853,-41.623695
1023651,BICAS,MG, MG/PR/MT,-21.71706404,-43.06044661
1023271,BENTO GONCALVES,RS, Demais Regioes,-29.147041,-51.528615
1046522,CUIABA,MT, MG/PR/MT,-15.65200667,-56.05315203
1048670,EUSEBIO,CE, Regioes Metropolitanas,-3.876537,-38.46246
1106945,COCOS,BA, Demais Regioes,-14.181075,-44.534476
1105161,SANTA RITA,PB, Regioes Metropolitanas,-7.160014,-34.975676
1050264,ITAPIPOCA,CE, Demais Regioes,-3.486212,-39.586183
1111577,IRANDUBA,AM, Regioes Metropolitanas,-3.2740794,-60.1786283
1051491,BORBOREMA,SP, SP/RJ,-21.6192157,-49.0780628
1106724,FORTALEZA,CE, Demais Regioes,-3.77258166,-38.57264383
1041549,PORTO VELHO,RO, Regioes Metropolitanas,-8.750045,-63.860757
1014519,GUARULHOS,SP, SP/RJ,-23.41712492,-46.45522582
1021059,DIADEMA,SP, SP/RJ,-23.67963587,-46.59625772
1023607,SAO PAULO,SP, SP/RJ,-23.62058704,-46.59221786
1032414,JARU,RO, Demais Regioes,-10.435849,-62.473379
1041662,SANTO ESTEVAO,BA, Demais Regioes,-12.43255193,-39.24886001
1058159,MANHUACU,MG, MG/PR/MT,-20.261324,-42.038218
1097825,UBATA,BA, Demais Regioes,-14.2018713,-39.5365911
1060541,ITAUNA,MG, MG/PR/MT,-20.09034456,-44.57390039
1100003,SINOP,MT, MG/PR/MT,-11.854617,-55.508906
606545,UBERABA,MG, MG/PR/MT,-19.776258,-47.926677
1093410,GRAMADO,RS, Demais Regioes,-29.37943,-50.86829
370150,MANAUS,AM, Regioes Metropolitanas,-3.08532262,-60.02639998
1046487,CONCEICAO DO MATO DENTRO,MG, MG/PR/MT,-19.02959882,-43.42774093
1023808,PRESIDENTE OLEGARIO,MG, MG/PR/MT,-18.4126747,-46.42988517
256943,RIBEIRAO PRETO,SP, SP/RJ,-21.2679401,-47.81765209
1020340,SAO JOSE DO CALCADO,ES, Demais Regioes,-21.03382605,-41.65240902
1023687,ITAGUACU,ES, Demais Regioes,-19.800075,-40.855872
1019541,BELO HORIZONTE,MG, MG/PR/MT,-19.891641,-43.974333
1023982,MACAE,RJ, SP/RJ,-22.361639,-41.799944
580236,ARACATUBA,SP, SP/RJ,-21.2255311,-50.4444972
1032374,LUCAS DO RIO VERDE,MT, MG/PR/MT,-13.07552206,-55.90990544
1087807,CAMBUI,MG, MG/PR/MT,-22.614232,-46.065594
1023800,PARA DE MINAS,MG, MG/PR/MT,-19.87919,-44.605594
621803,Itaguara,MG, MG/PR/MT,-20.39261796,-44.49455689
34142,SAQUAREMA,RJ, SP/RJ,-22.9317279,-42.4921006
1023349,MEDIANEIRA,PR, MG/PR/MT,-25.286807,-54.0954
1085398,SAO PAULO,SP, SP/RJ,-23.57938,-46.71094
1015098,SAO PAULO,SP, SP/RJ,-23.464319,-46.583442
1089899,OSASCO,SP, SP/RJ,-23.50209,-46.77352
1054674,SAO LUIS DE MONTES BELOS,GO, Regioes Metropolitanas,-16.52373356,-50.37278246
70149,MAUA,SP, SP/RJ,-23.665186,-46.436661
1096548,APARECIDA DE GOIANIA,GO, Regioes Metropolitanas,-16.826423,-49.235113
1041025,PIRIPIRI,PI, Demais Regioes,-4.319226,-41.780245
87238,JABOTICABAL,SP, SP/RJ,-21.26933289,-48.33202744
1061631,MUZAMBINHO,MG, MG/PR/MT,-21.37919408,-46.52628322
683027,BELO HORIZONTE,MG, MG/PR/MT,-19.961305,-43.9647228
1023344,CASTRO,PR, MG/PR/MT,-24.793715,-49.944687
1112798,ITAPOA,SC, Regioes Metropolitanas,-26.1117908,-48.60634577
86932,IBIUNA,SP, SP/RJ,-23.661764,-47.225896
1044840,TAUBATE,SP, SP/RJ,-23.02726671,-45.60350661
1096091,SANTA CRUZ DO SUL,RS, Demais Regioes,-29.717602,-52.424035
1098134,GOIANESIA DO PARA,PA, Demais Regioes,-3.83483736,-49.09985601
